0,1,"[940947, 1004906, 865456, 1062002, 1006184]"
1,2,"[8090521, 5569230, 1106523, 916122, 1075368]"
2,3,"[1106523, 854405, 910032, 1119761, 907631]"
3,6,"[863447, 5569230, 965267, 1029743, 1024306]"
4,7,"[1122358, 1106523, 893018, 5568378, 866211]"
5,8,"[5569230, 5569471, 1106523, 916122, 7139529]"
6,9,"[1029743, 1070820, 8090521, 893018, 5569230]"
7,10,"[1106523, 899624, 1029743, 1106523, 5569230]"
8,13,"[1029743, 1004906, 1126899, 1106523, 1128016]"
9,14,"[1029743, 916122, 1025611, 910673, 1013928]"
10,15,"[1070820, 1029743, 1127831, 1081177, 1026118]"
11,16,"[1029743, 1106523, 5569230, 916122, 844179]"
12,18,"[976199, 951412, 866211, 1000237, 916122]"
13,19,"[1029743, 1044078, 844179, 1106523, 916122]"
14,20,"[1075368, 1126899, 8090536, 1055425, 944836]"
15,21,"[1106523, 1044078, 1029743, 999779, 874972]"
16,22,"[1070820, 1082185, 883003, 944836, 995965]"
17,23,"[1075368, 1029743, 849202, 1042438, 8065410]"
18,24,"[926905, 1016800, 1106523, 1044078, 1037840]"
19,25,"[1029743, 913210, 885863, 8090521, 1097001]"
20,26,"[1132771, 1029743, 907631, 823704, 5585510]"
21,27,"[986912, 838186, 971922, 1075368, 1137775]"
22,28,"[1112238, 892531, 940947, 916122, 8177622]"
23,29,"[1044078, 1050851, 999858, 993638, 1029743]"
24,30,"[1106523, 957736, 1112238, 854405, 1051323]"
25,31,"[1062128, 1040807, 854852, 1126899, 866211]"
26,32,"[1105488, 908318, 901062, 1068719, 854852]"
27,33,"[1106523, 986912, 8090537, 1025611, 871756]"
28,34,"[993638, 986912, 916122, 1029743, 834117]"
29,35,"[1126899, 1029743, 940947, 819978, 5569230]"
30,36,"[1029743, 866211, 916122, 12301405, 935317]"
31,37,"[1067695, 1097001, 8090537, 834117, 1106523]"
32,39,"[1126899, 944836, 857503, 916122, 6602697]"
33,40,"[916122, 854852, 5585510, 6034857, 913210]"
34,41,"[909714, 913210, 12810393, 1126899, 874972]"
35,42,"[839656, 6602697, 916122, 897954, 1070702]"
36,43,"[952163, 1004906, 863447, 1029743, 871756]"
37,46,"[1029743, 857503, 866211, 909714, 965267]"
38,47,"[8090537, 999858, 916122, 866211, 1044078]"
39,49,"[5569471, 1070820, 1027168, 916122, 12301405]"
40,50,"[849202, 838186, 1106523, 1029743, 1106523]"
41,51,"[1029743, 902172, 965766, 6442594, 1072523]"
42,52,"[5569230, 1106523, 857503, 1044078, 1127831]"
43,53,"[5569471, 6034857, 839419, 999858, 844179]"
44,55,"[866211, 1004906, 871756, 852856, 1070702]"
45,56,"[940947, 5569230, 1101010, 832678, 8090537]"
46,57,"[1027168, 8090537, 986912, 916122, 1004906]"
47,58,"[1106523, 1127831, 5569374, 1029743, 916122]"
48,59,"[957951, 1081177, 1056509, 866211, 897954]"
49,62,"[1029743, 1106523, 5569230, 916122, 844179]"
50,63,"[834117, 1046545, 1029743, 1106523, 5569230]"
51,64,"[1013928, 1106523, 874972, 1081177, 949023]"
52,65,"[1029743, 1070820, 986912, 1127831, 1004906]"
53,67,"[971922, 1029743, 933835, 878996, 1070820]"
54,68,"[1029743, 1004906, 1068719, 916122, 5569230]"
55,69,"[1044078, 1106523, 844179, 933067, 944137]"
56,70,"[1029743, 1106523, 5569230, 916122, 844179]"
57,71,"[1044078, 1056509, 899624, 844179, 926905]"
58,72,"[5585510, 844179, 976199, 1127831, 1004906]"
59,75,"[1029743, 1106523, 5569230, 916122, 844179]"
60,77,"[1126899, 1106523, 857503, 1055425, 5569845]"
61,78,"[835098, 1082185, 8090440, 866211, 852856]"
62,79,"[1070820, 5569230, 998119, 916122, 863447]"
63,80,"[910673, 993638, 878996, 1105488, 901062]"
64,81,"[1029743, 1044078, 910673, 1132771, 1025611]"
65,82,"[1119761, 849202, 5569230, 1000753, 831628]"
66,83,"[823704, 1127831, 12810393, 852856, 1055425]"
67,84,"[5569374, 5569471, 852856, 854405, 1022097]"
68,85,"[1075368, 986912, 844179, 908318, 857503]"
69,86,"[1029743, 854852, 1137775, 5568729, 1056509]"
70,87,"[1029743, 1106523, 5569230, 916122, 844179]"
71,88,"[8090521, 1075368, 1029743, 893018, 844179]"
72,90,"[1070820, 866211, 1068719, 1029743, 1106523]"
73,91,"[1029743, 916122, 957736, 12301405, 5585510]"
74,92,"[838186, 878996, 1126899, 12946027, 930118]"
75,94,"[1044078, 8090532, 1020581, 1029743, 1106523]"
76,95,"[1029743, 976199, 1018740, 1043751, 5568489]"
77,97,"[1075368, 926905, 844179, 12301405, 896862]"
78,98,"[854852, 6602697, 1004906, 1044078, 1013928]"
79,99,"[1029743, 866211, 6034857, 854852, 909714]"
80,100,"[849202, 1012587, 916122, 890695, 983584]"
81,101,"[1106523, 5569845, 1004906, 897954, 12810393]"
82,103,"[1106523, 1105488, 866211, 986912, 1044078]"
83,104,"[933835, 1132771, 838186, 1029743, 5569230]"
84,105,"[1043751, 1004906, 935317, 854405, 12810393]"
85,106,"[8090521, 916122, 1044078, 834117, 5569230]"
86,107,"[8090521, 916122, 5569230, 1106523, 999270]"
87,109,"[835098, 866211, 880150, 1127831, 893018]"
88,110,"[1044078, 899624, 878996, 871756, 940947]"
89,111,"[1106523, 1112238, 909268, 1004906, 1044078]"
90,112,"[852856, 866211, 892531, 933835, 1070820]"
91,113,"[1070820, 976199, 1081177, 909268, 951412]"
92,114,"[5568489, 1029743, 948670, 916122, 844179]"
93,115,"[1101010, 983584, 933835, 1027168, 1128016]"
94,116,"[1044078, 5569230, 5569471, 857503, 863447]"
95,117,"[940947, 1105488, 12810393, 854852, 909268]"
96,118,"[893018, 1127831, 1006184, 5585510, 930118]"
97,119,"[1029743, 986912, 866211, 985999, 8090521]"
98,121,"[1029743, 1044078, 1004906, 999270, 863447]"
99,122,"[5569230, 940947, 916122, 863447, 823990]"
100,123,"[1126899, 844179, 1056509, 1029743, 12810393]"
101,124,"[1106523, 1037840, 892531, 1004906, 1044078]"
102,125,"[1029743, 8090537, 834117, 8090532, 5585510]"
103,126,"[1044078, 1029743, 863447, 1025611, 883003]"
104,127,"[1044078, 1106523, 865456, 940947, 1075368]"
